Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Carbon, C","Chromium, Cr","Cobalt, Co","Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni","Niobium, Nb (Columbium, Cb)","Silicon, Si","Titanium, Ti","Boron, B","Copper, Cu","Phosphorus, P","Sulfur, S","Zirconium, Zr","Tungsten, W","Vanadium, V","Beryllium, Be",Nb + Ta,"Nitrogen, N",Y2O3
8.44,0.37277932336964076,1.4020937540805714,1.3990280617592858,48.78,-0.5930662583982019,-0.4325244906534186,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.05,0.31951088379795545,-0.9976685171238673,-0.703322045894475,49.44,1.9069170221614393,2.0277118526768634,1.35,0.05,23.0,0.0,14.1,0.5,0.0,60.5,0.0,0.25,0.0,0.0,0.25,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.23073015117847984,-0.20715859249181692,-0.1886087436757956,50.01,0.6569253818816186,-0.6348815924857991,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.2330383816910805,0.03370873897264806,48.87,-0.5930662583982019,-0.3557791501751987,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,0.10810429411739365,0.10620357027105361,48.87,-0.5930662583982019,-0.3557791501751987,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,0.31984802392955003,0.4082653673477434,48.78,-0.5930662583982019,-0.3773931440241686,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,-2.983132369646537,-1.3999816037669643,-2.107305278706929,49.62,-0.2565685088348627,1.0879729896782768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0
8.26,-0.8701509333030175,-1.4376249335113478,-2.0444764249149774,49.56,0.9964231113816296,1.5578424211775714,0.8,0.08,16.0,1.0,8.0,0.35,0.0,70.0,1.0,0.35,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.43,0.8486440502100302,2.225541592238957,2.3438773630151712,49.5,-0.24606857905654891,-0.5528110651172495,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.43,0.8486440502100302,1.7385310136709975,2.0925619478473654,49.5,-0.24606857905654891,-0.5528110651172495,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,-2.983132369646537,-1.3435166091503894,-2.0638083799278855,49.62,-0.2565685088348627,1.0879729896782768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0
8.44,0.37277932336964076,0.33161156447466983,0.4082653673477434,48.78,-0.5930662583982019,-0.3773931440241686,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.009531111333804326,0.05787368273878324,48.87,-0.5930662583982019,-0.3557791501751987,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.2448019222362003,0.03370873897264806,48.87,-0.5930662583982019,-0.3557791501751987,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,0.3550231768457457,1.1668229431781754,1.0848837927995285,49.26,1.1279222319390594,1.0879729896782768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0
8.2,0.23073015117847984,-0.611824387243938,-0.23935512558467947,50.01,0.6569253818816186,-0.6348815924857991,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.5624175169544348,-0.08711597985802784,48.87,-0.5930662583982019,-0.36611627766818405,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.727107084586112,-0.2925180018701769,49.02,-0.5930662583982019,-0.3617308296408536,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
